Order_ID,Product,Category,Month,Quantity,Price,Cost,Rating,Revenue,Total_Cost,Profit,Discount,Final_Revenue
1001,Laptop,Electronics,Jan,3,65000,58000,4.8,195000,174000,21000,19500.0,175500.0
1002,Mouse,Accessories,Jan,10,500,350,4.2,5000,3500,1500,250.0,4750.0
1003,Keyboard,Accessories,Feb,5,1500,1100,4.5,7500,5500,2000,375.0,7125.0
1004,Monitor,Electronics,Feb,2,18000,15000,4.6,36000,30000,6000,1800.0,34200.0
1005,Headphone,Accessories,Mar,6,2500,1800,4.1,15000,10800,4200,750.0,14250.0
1006,Laptop,Electronics,Mar,4,66000,59000,4.9,264000,236000,28000,26400.0,237600.0
1007,Mouse,Accessories,Apr,8,550,380,4.3,4400,3040,1360,220.0,4180.0
1008,Keyboard,Accessories,Apr,7,1600,1200,4.4,11200,8400,2800,560.0,10640.0
1009,Monitor,Electronics,May,3,18500,15500,4.7,55500,46500,9000,2775.0,52725.0
1010,Headphone,Accessories,May,9,2600,1900,4.0,23400,17100,6300,1170.0,22230.0
1011,Laptop,Electronics,Jun,5,67000,60000,5.0,335000,300000,35000,33500.0,301500.0
1012,Mouse,Accessories,Jun,12,600,400,4.2,7200,4800,2400,360.0,6840.0
1013,Keyboard,Accessories,Jul,6,1700,1250,4.5,10200,7500,2700,510.0,9690.0
1014,Monitor,Electronics,Jul,4,19000,16000,4.8,76000,64000,12000,3800.0,72200.0
1015,Headphone,Accessories,Aug,8,2700,2000,4.3,21600,16000,5600,1080.0,20520.0
